tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
20/03/2023,P063,Klima,Elektronik,254.81,3,7520.75939059395,5252,Onursu,Kadın,52,Bursa,4131.59
19/09/2023,P032,Mouse,Elektronik,490.14,7,3430.98,2747,Kocabaş,Kadın,29,Gaziantep,3208.0
05/04/2023,P087,Kulaklık,Elektronik,306.95,10,3069.5,8836,Toktuğ,Kadın,35,Konya,1065.42
31/08/2024,P018,Telefon,Elektronik,671.3,9,6041.7,6029,Zubeyde,Erkek,28,İstanbul,1303.13
12/11/2022,P037,Fırın,Ev Aletleri,1210.8,9,10897.2,8072,Musafet,Kadın,54,Ankara,4589.47
06/12/2023,P063,Klima,Elektronik,1319.89,1,1319.89,1519,Güngören,Erkek,61,İzmir,300.14
08/10/2023,P037,Fırın,Ev Aletleri,1484.68,1,1484.68,8340,Besey,Erkek,68,Konya,2278.25
23/05/2024,P024,Bilgisayar,Elektronik,1142.6,10,11426.0,6215,Gücal,Erkek,46,Konya,221.39
27/03/2024,P097,Su Şişesi,Mutfak Ürünleri,1342.98,15,20144.7,4829,Razı,Erkek,38,Bursa,2918.32
03/03/2023,P037,Fırın,Ev Aletleri,120.91,19,2297.29,9423,N˜zamett˜n,Kadın,30,Ankara,3955.4
19/11/2022,P063,Klima,Elektronik,1270.96,8,10167.68,9838,Şöhret,Kadın,21,Ankara,2578.54
14/10/2024,P063,Klima,Elektronik,272.46,2,544.92,8991,Zemzem,Kadın,44,İstanbul,3224.97
25/01/2023,P011,Kalem,Kırtasiye,565.51,18,10179.18,3153,Aykutalp,Kadın,21,İzmir,4086.14
12/04/2024,P011,Kalem,Kırtasiye,179.69,6,1078.14,9992,Şefiye,Kadın,47,Gaziantep,542.09
17/06/2023,P018,Telefon,Elektronik,245.48,4,981.92,4300,Burç,Kadın,52,Gaziantep,4379.08
03/11/2023,P037,Fırın,Ev Aletleri,389.91,14,7520.75939059395,2538,Gülel,Kadın,65,Antalya,1292.23
05/06/2024,P063,Klima,Elektronik,865.02,4,3460.08,8756,Çetinsu,Kadın,51,Antalya,1721.47
26/08/2023,P063,Klima,Elektronik,340.64,4,1362.56,8784,Nurveren,Kadın,24,Bursa,1812.5
04/04/2024,P082,Defter,Kırtasiye,1035.54,8,8284.32,3908,Afife,Kadın,69,Ankara,1709.05
24/09/2024,P010,Çanta,Giyim,822.64,13,10694.32,4478,Ildız,Erkek,37,Gaziantep,2392.2
24/03/2023,P018,Telefon,Elektronik,108.24,14,1515.36,4809,Nas,Erkek,52,Adana,4471.55
30/11/2023,P024,Bilgisayar,Elektronik,1476.65,17,7520.75939059395,2630,Sefer,Kadın,57,Gaziantep,1946.51
22/10/2024,P018,Telefon,Elektronik,509.93,9,4589.37,2696,Varlık,Kadın,39,Adana,1006.63
29/08/2023,P063,Klima,Elektronik,658.7,6,3952.2,1248,Heyvetullah,Erkek,22,Antalya,4598.91
16/02/2023,P097,Su Şişesi,Mutfak Ürünleri,616.71,19,7520.75939059395,2796,Kotuz,Erkek,23,Antalya,4615.22
31/05/2023,P082,Defter,Kırtasiye,1345.99,18,24227.82,8920,Yücelen,Kadın,40,Antalya,2902.53
15/05/2023,P032,Mouse,Elektronik,1170.98,12,14051.76,5366,Mecide,Kadın,38,Bursa,2589.46
03/06/2023,P011,Kalem,Kırtasiye,601.32,1,601.32,9877,Verim,Kadın,59,Bursa,3706.13
22/02/2023,P032,Mouse,Elektronik,1112.75,6,6676.5,2397,Özbay,Kadın,61,İstanbul,4011.23
09/11/2023,P010,Çanta,Giyim,1141.69,4,4566.76,7733,Hayali,Kadın,39,Konya,2639.09
22/02/2023,P097,Su Şişesi,Mutfak Ürünleri,1172.8,3,3518.4,8697,Avşin,Kadın,55,Ankara,2085.14
06/12/2022,P032,Mouse,Elektronik,270.65,5,1353.25,7710,Borahan,Kadın,26,Adana,4108.59
31/08/2023,P010,Çanta,Giyim,86.88,15,7520.75939059395,8079,Aliabbas,Erkek,61,Konya,2708.76
15/02/2023,P097,Su Şişesi,Mutfak Ürünleri,249.74,19,4745.06,4167,Mümtaze,Erkek,60,Ankara,1058.81
08/12/2022,P082,Defter,Kırtasiye,01/08/1946 00:00,9,7520.75939059395,4365,Nebiha,Erkek,68,Bursa,2899.16
01/05/2024,P087,Kulaklık,Elektronik,109.14,8,873.12,3705,Günden,Kadın,38,Gaziantep,3163.47
02/01/2024,P024,Bilgisayar,Elektronik,848.77,2,1697.54,2167,Fehmiye,Kadın,36,İzmir,3662.64
20/07/2024,P011,Kalem,Kırtasiye,1389.8,6,8338.8,1908,Yeneral,Erkek,23,Antalya,3239.12
16/08/2024,P018,Telefon,Elektronik,967.02,11,10637.22,5099,Çelem,Erkek,33,Gaziantep,1561.27
17/07/2023,P032,Mouse,Elektronik,1113.17,13,14471.21,2240,Laika,Kadın,53,İstanbul,711.7
03/08/2023,P024,Bilgisayar,Elektronik,605.44,10,7520.75939059395,4417,Sabihe,Kadın,22,Konya,2431.5
26/10/2023,P082,Defter,Kırtasiye,1091.27,19,20734.13,6523,Güçyeter,Kadın,33,İzmir,4498.53
22/06/2024,P010,Çanta,Giyim,1178.31,5,7520.75939059395,8996,Hümeyra,Erkek,22,Gaziantep,341.85
11/03/2023,P063,Klima,Elektronik,732.35,17,12449.95,9481,Ortak,Kadın,22,İzmir,1448.27
06/09/2024,P082,Defter,Kırtasiye,218.68,19,4154.92,9945,Temirhan,Kadın,54,Adana,3477.93
02/10/2024,P018,Telefon,Elektronik,361.16,5,1805.8,3294,Anka,Kadın,42,Ankara,4608.95
29/03/2024,P037,Fırın,Ev Aletleri,422.88,9,3805.92,2446,Süzer,Kadın,57,İzmir,1417.41
28/04/2024,P024,Bilgisayar,Elektronik,1001.44,1,1001.44,7302,Bilkay,Erkek,21,Adana,1568.76
01/04/2023,P097,Su Şişesi,Mutfak Ürünleri,551.27,5,2756.35,1024,Telim,Kadın,44,Adana,1913.18
25/02/2024,P024,Bilgisayar,Elektronik,1239.8,1,1239.8,1402,Ökkaş,Erkek,47,Antalya,3935.92
06/03/2023,P024,Bilgisayar,Elektronik,1033.86,1,1033.86,8141,Akdurmuş,Erkek,50,İzmir,3048.02
14/10/2023,P037,Fırın,Ev Aletleri,441.15,16,7058.4,7872,Dilşat,Erkek,59,Ankara,3742.6
25/04/2023,P010,Çanta,Giyim,340.75,11,3748.25,6103,Uzbay,Kadın,27,Konya,3647.97
29/07/2024,P097,Su Şişesi,Mutfak Ürünleri,1401.08,13,18214.04,5447,Hazine,Erkek,20,Ankara,2073.91
22/06/2024,P097,Su Şişesi,Mutfak Ürünleri,660.43,15,9906.45,1562,Fami,Erkek,27,Adana,4213.16
29/06/2024,P010,Çanta,Giyim,93.78,8,750.24,4883,Mahsun,Erkek,20,Gaziantep,2852.92
16/12/2023,P011,Kalem,Kırtasiye,526.23,19,9998.37,5541,Öztürk,Kadın,39,İzmir,217.22
26/01/2024,P097,Su Şişesi,Mutfak Ürünleri,491.63,10,4916.3,7468,İsmet,Erkek,42,Bursa,2375.53
09/08/2024,P097,Su Şişesi,Mutfak Ürünleri,758.97,15,11384.55,6998,Bekbay,Kadın,48,Konya,322.37
01/03/2024,P097,Su Şişesi,Mutfak Ürünleri,920.89,15,13813.35,4661,Alsoy,Erkek,66,Konya,2690.08
03/04/2024,P037,Fırın,Ev Aletleri,1015.32,8,8122.56,5543,Menişan,Kadın,27,Antalya,4817.74
10/04/2024,P082,Defter,Kırtasiye,193.46,3,580.38,6868,Dilcan,Erkek,49,Gaziantep,3786.94
04/01/2024,P011,Kalem,Kırtasiye,80.14,18,1442.52,3449,Ağbegim,Erkek,63,Konya,4637.15
07/10/2023,P082,Defter,Kırtasiye,380.55,2,761.1,5197,Yekda,Kadın,37,Ankara,2818.58
16/10/2024,P097,Su Şişesi,Mutfak Ürünleri,1370.15,19,26032.85,8125,Cüneyit,Kadın,40,Antalya,1998.86
07/08/2023,P032,Mouse,Elektronik,1020.27,2,2040.54,1087,Cantez,Kadın,43,İstanbul,4122.04
23/04/2024,P063,Klima,Elektronik,1417.9,4,5671.6,9609,Kübran,Erkek,29,Antalya,3666.8
08/10/2023,P037,Fırın,Ev Aletleri,870.09,4,3480.36,5913,Taygan,Kadın,25,Adana,1065.34
16/12/2023,P037,Fırın,Ev Aletleri,923.07,1,923.07,5103,Bidayet,Erkek,43,Gaziantep,3129.0
08/06/2023,P018,Telefon,Elektronik,298.87,7,2092.09,8836,Toktuğ,Kadın,35,Konya,1065.42
27/12/2023,P063,Klima,Elektronik,589.06,6,3534.36,5762,Kızıltunç,Kadın,69,Ankara,3854.48
15/03/2023,P024,Bilgisayar,Elektronik,692.29,17,11768.93,7127,Aksay,Kadın,35,İstanbul,1591.52
13/10/2023,P024,Bilgisayar,Elektronik,515.48,15,7520.75939059395,1402,Ökkaş,Erkek,47,Antalya,3935.92
14/07/2024,P018,Telefon,Elektronik,944.64,19,17948.16,7232,Konguralp,Kadın,37,İzmir,3641.34
30/11/2022,P032,Mouse,Elektronik,908.2,6,7520.75939059395,9481,Ortak,Kadın,22,İzmir,1448.27
21/02/2024,P097,Su Şişesi,Mutfak Ürünleri,815.96,2,1631.92,5497,Müşüre,Erkek,45,İzmir,175.51
12/12/2023,P032,Mouse,Elektronik,855.35,14,11974.9,5247,Hüsmen,Kadın,47,İzmir,4801.08
24/08/2023,P087,Kulaklık,Elektronik,1450.35,1,1450.35,7346,Ummahani,Erkek,32,Antalya,2299.55
11/04/2023,P032,Mouse,Elektronik,599.47,11,6594.17,2056,Muktedir,Erkek,18,Adana,4956.86
01/07/2024,P010,Çanta,Giyim,600.54,14,8407.56,7367,Esmanperi,Erkek,43,Adana,1990.41
13/01/2023,P024,Bilgisayar,Elektronik,562.81,8,4502.48,7620,Atgun,Erkek,40,Bursa,1224.99
27/07/2024,P010,Çanta,Giyim,85.38,11,939.18,2668,Yasemen,Erkek,53,Antalya,2362.59
28/10/2024,P018,Telefon,Elektronik,292,9,2628.0,2693,Acarkan,Erkek,53,İzmir,2962.62
22/12/2023,P037,Fırın,Ev Aletleri,1078.33,11,11861.63,9949,Şahinder,Erkek,24,Konya,3274.97
28/03/2024,P024,Bilgisayar,Elektronik,679.87,12,8158.44,9063,Tuğçe,Kadın,22,Gaziantep,936.5
11/02/2024,P032,Mouse,Elektronik,933.02,15,13995.3,2520,Semrin,Kadın,19,Bursa,2023.12
14/06/2023,P097,Su Şişesi,Mutfak Ürünleri,244.81,5,1224.05,1747,Gülseren,Erkek,19,İstanbul,580.88
24/02/2023,P024,Bilgisayar,Elektronik,525.36,2,1050.72,6574,Resulcan,Kadın,51,Adana,1936.48
02/09/2023,P097,Su Şişesi,Mutfak Ürünleri,907.05,8,7256.4,9684,Öncel,Kadın,44,İzmir,3972.34
25/04/2024,P063,Klima,Elektronik,1057.32,1,1057.32,6758,Hüda,Erkek,37,Konya,4899.99
27/01/2024,P018,Telefon,Elektronik,1239.89,11,13638.79,3422,Otay,Erkek,47,Bursa,1595.84
26/03/2023,P024,Bilgisayar,Elektronik,46.5,4,186.0,7846,Altınkaya,Kadın,37,Gaziantep,300.71
22/11/2023,P018,Telefon,Elektronik,731.25,17,12431.25,1310,Paker,Kadın,54,Bursa,2582.89
27/12/2023,P087,Kulaklık,Elektronik,97.8,1,97.8,2245,İslime,Kadın,54,Bursa,3314.71
30/07/2024,P037,Fırın,Ev Aletleri,1440.41,6,7520.75939059395,2718,Sayrak,Kadın,57,İzmir,651.64
26/06/2023,P087,Kulaklık,Elektronik,1409.99,5,7049.95,3270,Asliye,Kadın,63,Konya,3254.9
02/04/2023,P097,Su Şişesi,Mutfak Ürünleri,1217.95,19,23141.05,5116,Tümkurt,Erkek,67,İstanbul,3303.39
21/01/2023,P024,Bilgisayar,Elektronik,1180.19,9,10621.71,4595,Rojnu,Kadın,35,Adana,2909.07
23/12/2022,P010,Çanta,Giyim,987.92,9,7520.75939059395,9502,Aylil,Erkek,27,İzmir,3214.87
14/06/2024,P087,Kulaklık,Elektronik,95.41,11,1049.51,2423,Urhan,Erkek,45,Konya,4926.48
27/04/2024,P063,Klima,Elektronik,137.95,3,413.85,7461,Tarancı,Kadın,36,Gaziantep,2537.92
22/12/2022,P063,Klima,Elektronik,822.09,17,13975.53,6957,Zülbiye,Erkek,58,İstanbul,1085.71
16/01/2023,P011,Kalem,Kırtasiye,634.37,14,8881.18,6436,Nejdet,Erkek,47,Ankara,2379.27
24/03/2024,P024,Bilgisayar,Elektronik,506.94,7,3548.58,5261,Semrin,Erkek,20,Ankara,4440.53
07/04/2023,P011,Kalem,Kırtasiye,207,10,2070.0,1875,Tomurcuk,Erkek,21,İzmir,2787.12
08/07/2023,P032,Mouse,Elektronik,1029,19,19551.0,2662,Ülfet,Kadın,29,Ankara,4647.04
19/12/2022,P097,Su Şişesi,Mutfak Ürünleri,369.38,13,4801.94,4133,Aran,Kadın,61,Gaziantep,4856.75
23/02/2024,P082,Defter,Kırtasiye,70.43,4,281.72,6418,Telim,Kadın,44,İzmir,4413.06
26/11/2023,P037,Fırın,Ev Aletleri,752.31,14,10532.34,1163,Tekiner,Kadın,23,Bursa,1592.96
18/12/2022,P037,Fırın,Ev Aletleri,406.98,17,6918.66,3364,Rahiye,Kadın,56,Gaziantep,3645.47
31/03/2024,P082,Defter,Kırtasiye,1372.86,14,19220.04,7744,Nasiba,Erkek,32,Konya,3558.16
26/09/2023,P087,Kulaklık,Elektronik,638.69,15,9580.35,5910,Talibe,Erkek,62,Adana,2060.6
08/06/2024,P037,Fırın,Ev Aletleri,1010.63,18,18191.34,2970,Nesfe,Kadın,25,Adana,3669.95
18/01/2023,P011,Kalem,Kırtasiye,1400.62,13,18208.06,3304,Gümüştekin,Kadın,62,Gaziantep,4911.59
02/11/2023,P032,Mouse,Elektronik,1090.96,15,16364.4,6969,Soydaner,Erkek,22,Konya,858.92
13/06/2023,P087,Kulaklık,Elektronik,554.06,18,7520.75939059395,1545,Terlan,Erkek,38,İstanbul,364.3
05/09/2023,P087,Kulaklık,Elektronik,173.9,13,7520.75939059395,8958,Sonad,Kadın,39,İzmir,3912.39
11/07/2024,P010,Çanta,Giyim,117.88,1,117.88,3678,Feryas,Kadın,33,Ankara,3609.13
08/06/2024,P010,Çanta,Giyim,1477.37,6,8864.22,5993,Tevs,Kadın,47,İzmir,996.74
27/09/2024,P010,Çanta,Giyim,1486.3,18,26753.4,3189,Lezize,Kadın,26,Ankara,4099.32
28/04/2024,P097,Su Şişesi,Mutfak Ürünleri,482.81,5,2414.05,7678,Uzsoy,Erkek,18,İstanbul,4970.7
28/04/2023,P011,Kalem,Kırtasiye,240.01,8,1920.08,9432,Akatay,Kadın,49,Adana,4111.94
10/11/2022,P018,Telefon,Elektronik,762.82,11,8391.02,1869,Baydu,Kadın,53,Antalya,2036.06
20/05/2023,P087,Kulaklık,Elektronik,1163.17,3,3489.51,4587,Afer,Erkek,69,Bursa,335.57
04/09/2024,P037,Fırın,Ev Aletleri,1174.72,15,17620.8,8899,Onurcan,Kadın,50,Konya,1922.49
13/07/2023,P024,Bilgisayar,Elektronik,433.41,2,866.82,1730,Özlem,Kadın,25,Konya,1200.58
10/12/2023,P011,Kalem,Kırtasiye,711.77,5,3558.85,9956,İhsan,Erkek,32,İzmir,4680.97
20/09/2023,P010,Çanta,Giyim,773.34,15,11600.1,8574,Şehreban,Erkek,42,Antalya,4269.42
28/08/2023,P087,Kulaklık,Elektronik,202.96,19,3856.24,2532,Tutkucan,Erkek,24,İstanbul,1135.14
04/08/2023,P011,Kalem,Kırtasiye,1127.6,5,5638.0,6695,Denkel,Erkek,22,Bursa,2203.62
26/01/2024,P097,Su Şişesi,Mutfak Ürünleri,235.76,9,2121.84,4572,Bilay,Erkek,26,Bursa,1553.99
10/02/2023,P032,Mouse,Elektronik,1476.79,15,22151.85,1913,Avunç,Erkek,34,Adana,2213.43
22/03/2024,P097,Su Şişesi,Mutfak Ürünleri,259.15,7,1814.05,2660,Emine.,Kadın,44,Gaziantep,1146.95
03/04/2024,P037,Fırın,Ev Aletleri,182.63,1,182.63,1652,Rehime,Kadın,23,Konya,516.96
05/10/2023,P032,Mouse,Elektronik,350.82,10,3508.2,9006,Korugan,Kadın,38,Adana,4821.71
17/12/2023,P087,Kulaklık,Elektronik,173.44,12,2081.28,3474,Ünsever,Kadın,61,İstanbul,785.61
21/10/2024,P087,Kulaklık,Elektronik,87.4,16,1398.4,1659,Dayar,Erkek,32,Konya,4447.44
17/02/2024,P097,Su Şişesi,Mutfak Ürünleri,1183.05,16,18928.8,1907,Leyli,Erkek,48,Adana,3986.06
25/02/2024,P018,Telefon,Elektronik,222.19,18,3999.42,2970,Nesfe,Kadın,25,Adana,3669.95
21/03/2024,P032,Mouse,Elektronik,237.08,8,1896.64,5250,Efil,Erkek,27,Antalya,2682.0
16/05/2023,P018,Telefon,Elektronik,1377.75,8,11022.0,9021,Tanır,Erkek,56,İzmir,3678.43
20/08/2023,P082,Defter,Kırtasiye,305.16,1,305.16,2143,Ergün,Kadın,34,Antalya,3323.39
05/03/2023,P097,Su Şişesi,Mutfak Ürünleri,1175.27,18,21154.86,4136,Ezgütekin,Erkek,66,Antalya,3502.75
31/12/2022,P011,Kalem,Kırtasiye,344.87,11,3793.57,8015,Nurullah,Kadın,49,Ankara,2253.74
01/04/2024,P063,Klima,Elektronik,379.34,12,4552.08,7521,Aksöğüt,Kadın,34,Bursa,465.71
18/07/2024,P011,Kalem,Kırtasiye,1124.93,13,14624.09,6231,Mirbadin,Kadın,67,Gaziantep,2460.63
28/06/2023,P024,Bilgisayar,Elektronik,1451.48,16,23223.68,5913,Taygan,Kadın,25,Adana,1065.34
23/09/2024,P063,Klima,Elektronik,545.99,2,1091.98,1242,Boynak,Erkek,59,Ankara,3763.07
18/02/2023,P063,Klima,Elektronik,251.16,8,2009.28,1772,Sevim,Erkek,46,Ankara,866.08
20/11/2022,P037,Fırın,Ev Aletleri,166.04,2,332.08,4717,Asliye,Erkek,63,İzmir,4457.97
06/08/2024,P082,Defter,Kırtasiye,790.53,7,5533.71,4133,Aran,Kadın,61,Gaziantep,4856.75
06/08/2024,P010,Çanta,Giyim,962.06,9,7520.75939059395,7996,Yalgın,Kadın,48,Bursa,3525.55
22/08/2024,P032,Mouse,Elektronik,1067.16,7,7520.75939059395,9655,Lâle,Kadın,41,Gaziantep,1914.23
21/05/2024,P082,Defter,Kırtasiye,1476.5,13,19194.5,4117,Emin,Kadın,55,Konya,169.19
10/04/2023,P082,Defter,Kırtasiye,1144.1,7,7520.75939059395,1116,Talibe,Erkek,29,İstanbul,622.03
23/09/2024,P011,Kalem,Kırtasiye,1284.34,1,1284.34,6818,Sejda,Kadın,53,Ankara,877.08
05/02/2023,P032,Mouse,Elektronik,1162.03,18,20916.54,1018,Muhip,Kadın,47,Bursa,610.02
02/09/2024,P018,Telefon,Elektronik,1414.48,5,7072.4,7746,Emal,Kadın,33,Adana,4445.02
20/07/2024,P024,Bilgisayar,Elektronik,1152.59,3,7520.75939059395,4772,Tamaydın,Kadın,58,Ankara,2053.29
06/04/2024,P011,Kalem,Kırtasiye,324.54,6,1947.24,6274,Nüdret,Erkek,47,Gaziantep,3912.39
30/10/2023,P097,Su Şişesi,Mutfak Ürünleri,459.16,9,7520.75939059395,3358,Tonguç,Erkek,50,Gaziantep,3150.84
26/08/2024,P097,Su Şişesi,Mutfak Ürünleri,768.2,17,13059.4,8681,Kızıl,Erkek,57,Konya,2240.34
11/10/2023,P097,Su Şişesi,Mutfak Ürünleri,328.79,9,2959.11,3870,Günaydin,Erkek,43,Konya,1084.75
09/02/2023,P018,Telefon,Elektronik,854.48,12,10253.76,3854,Selcen,Erkek,24,Antalya,3604.05
06/09/2024,P011,Kalem,Kırtasiye,844.04,4,3376.16,3171,Sevginur,Kadın,31,İzmir,4322.64
10/06/2024,P063,Klima,Elektronik,212.84,12,2554.08,8002,Ferihan,Kadın,68,Adana,408.92
09/02/2024,P032,Mouse,Elektronik,46.51,13,604.63,6473,Şükri,Kadın,18,Gaziantep,1042.82
31/12/2023,P082,Defter,Kırtasiye,1302.22,3,3906.66,1875,Tomurcuk,Erkek,21,İzmir,2787.12
04/03/2024,P037,Fırın,Ev Aletleri,1057.63,9,7520.75939059395,5265,Üstün,Kadın,26,Bursa,2217.73
02/05/2024,P011,Kalem,Kırtasiye,12/01/2024 00:00,16,192.16,9605,Âdem,Kadın,55,Konya,4081.81
04/07/2023,P097,Su Şişesi,Mutfak Ürünleri,280.13,16,4482.08,1901,Törel,Kadın,67,Gaziantep,4972.73
08/07/2023,P024,Bilgisayar,Elektronik,1449.14,11,15940.54,6691,Zaliha,Erkek,22,İstanbul,1680.3
13/07/2023,P010,Çanta,Giyim,109.71,19,2084.49,8531,Jaruthip,Erkek,62,İzmir,657.13
09/10/2023,P024,Bilgisayar,Elektronik,560.81,7,3925.67,2693,Acarkan,Erkek,53,İzmir,2962.62
12/08/2024,P018,Telefon,Elektronik,687.28,16,10996.48,7999,Tandoğdu,Erkek,54,Adana,2288.39
12/07/2023,P097,Su Şişesi,Mutfak Ürünleri,442.53,3,1327.59,1102,Kızıl,Erkek,58,Ankara,848.11
06/04/2024,P063,Klima,Elektronik,69.02,1,69.02,4420,Mülâyim,Erkek,48,Konya,1374.57
20/09/2023,P018,Telefon,Elektronik,1420.8,6,8524.8,5756,Kumral,Erkek,55,Gaziantep,4401.06
22/07/2024,P010,Çanta,Giyim,894.78,3,2684.34,3854,Selcen,Erkek,24,Antalya,3604.05
18/02/2024,P032,Mouse,Elektronik,806.85,17,13716.45,2498,Uygun,Erkek,50,Konya,540.88
16/09/2023,P063,Klima,Elektronik,720.77,13,9370.01,3172,Meşhur,Kadın,27,Antalya,4189.92
15/08/2023,P032,Mouse,Elektronik,954.68,6,5728.08,6803,Rümeysa,Kadın,65,Gaziantep,2468.68
09/06/2023,P063,Klima,Elektronik,575.67,10,5756.7,6116,Dilder,Erkek,39,Bursa,2080.95
04/01/2023,P082,Defter,Kırtasiye,630.84,13,8200.92,1329,Günser,Erkek,49,İzmir,1244.5
17/01/2024,P011,Kalem,Kırtasiye,1027.01,13,13351.13,3822,Şahinbey,Erkek,49,Antalya,2348.56
20/12/2022,P063,Klima,Elektronik,964.68,3,2894.04,1084,İsak,Erkek,58,Bursa,913.66
20/11/2023,P097,Su Şişesi,Mutfak Ürünleri,1361.59,8,10892.72,3927,Kâzime,Kadın,21,Antalya,2008.23
18/03/2024,P024,Bilgisayar,Elektronik,260.7,16,4171.2,1183,Faize,Kadın,37,Antalya,4650.0
15/02/2023,P018,Telefon,Elektronik,1429.76,18,25735.68,2735,Berki,Kadın,65,Ankara,4024.16
22/04/2023,P011,Kalem,Kırtasiye,831.52,5,4157.6,3602,Gözel,Erkek,61,Antalya,3115.44
18/01/2024,P018,Telefon,Elektronik,137.23,15,2058.45,7544,Elifnur,Erkek,47,İzmir,3298.16
23/05/2024,P082,Defter,Kırtasiye,170.68,16,2730.88,6166,Tunahan,Erkek,31,Antalya,3376.38
02/12/2022,P097,Su Şişesi,Mutfak Ürünleri,150.63,16,2410.08,7367,Esmanperi,Erkek,43,Adana,1990.41
13/09/2023,P087,Kulaklık,Elektronik,577.24,11,6349.64,2580,Neslinur,Kadın,40,Antalya,534.55
18/12/2022,P063,Klima,Elektronik,339.59,17,5773.03,5126,Mehrigül,Kadın,65,Antalya,4147.76
18/10/2024,P024,Bilgisayar,Elektronik,496.61,10,4966.1,1499,Şahnuray,Erkek,39,Bursa,4996.4
03/07/2023,P011,Kalem,Kırtasiye,583.61,5,2918.05,1707,Savni,Erkek,37,İzmir,4792.89
28/12/2023,P082,Defter,Kırtasiye,337.06,2,674.12,1807,Aypar,Erkek,45,İstanbul,4428.19
16/08/2024,P082,Defter,Kırtasiye,551.93,11,6071.23,6203,Önel,Erkek,64,Adana,3666.88
01/05/2023,P010,Çanta,Giyim,734.17,17,12480.89,3762,Kandef,Erkek,54,Bursa,2698.02
25/08/2024,P010,Çanta,Giyim,867.65,14,12147.1,7824,Lutfi,Erkek,22,Gaziantep,3755.36
24/07/2023,P010,Çanta,Giyim,46.59,9,7520.75939059395,2343,Hıfzullah,Erkek,45,Gaziantep,1894.72
10/11/2022,P032,Mouse,Elektronik,172.19,2,344.38,7042,Aksay,Erkek,64,Bursa,3532.82
15/09/2024,P010,Çanta,Giyim,930.28,19,17675.32,7800,Mutluhan,Erkek,68,İzmir,2051.88
03/07/2023,P097,Su Şişesi,Mutfak Ürünleri,1122.55,14,15715.7,5957,Öğet,Kadın,18,İstanbul,4828.29
06/09/2024,P032,Mouse,Elektronik,107.45,13,1396.85,9014,Tınal,Erkek,62,Adana,2546.79
17/01/2024,P010,Çanta,Giyim,478.34,12,5740.08,1914,Neval,Erkek,21,İstanbul,731.22
02/07/2024,P097,Su Şişesi,Mutfak Ürünleri,286.25,4,1145.0,5787,Feyzin,Kadın,55,Ankara,1902.49
03/08/2024,P032,Mouse,Elektronik,280.73,7,1965.11,6255,Bağdat,Erkek,22,Adana,1561.33
12/07/2023,P032,Mouse,Elektronik,195.29,7,1367.03,4685,Gülinaz,Kadın,48,İzmir,1686.8
27/01/2023,P063,Klima,Elektronik,619.21,11,6811.31,1544,Evrim,Kadın,27,İzmir,1205.68
09/09/2024,P018,Telefon,Elektronik,1277.57,19,24273.83,7886,Nurgil,Kadın,65,Bursa,2087.47
13/10/2023,P097,Su Şişesi,Mutfak Ürünleri,810.3,17,13775.1,4785,Oluş,Kadın,66,Antalya,1848.46
13/04/2023,P010,Çanta,Giyim,1091.66,9,9824.94,4536,Alaaddin,Erkek,69,Antalya,3818.8
30/11/2023,P011,Kalem,Kırtasiye,28/08/2024 00:00,8,224.64,2712,Sevim,Kadın,59,İzmir,477.32
07/08/2023,P024,Bilgisayar,Elektronik,857.35,11,9430.85,4945,Sevdinar,Kadın,49,İzmir,4860.33
23/06/2024,P063,Klima,Elektronik,432.16,13,5618.08,9766,Erinçer,Erkek,22,Konya,589.09
13/11/2022,P082,Defter,Kırtasiye,583.12,17,9913.04,1451,Berki,Erkek,49,İzmir,1872.64
15/12/2023,P011,Kalem,Kırtasiye,464.62,10,4646.2,1407,İklim,Erkek,33,Konya,1152.91
21/07/2024,P024,Bilgisayar,Elektronik,629.45,8,5035.6,7675,Çağdan,Kadın,31,Bursa,483.39
01/07/2023,P032,Mouse,Elektronik,1469.13,11,16160.43,9795,Muvahhide,Erkek,64,Ankara,1190.16
12/05/2023,P032,Mouse,Elektronik,407.97,12,4895.64,5875,Eröz,Kadın,59,Konya,4366.9
28/12/2022,P024,Bilgisayar,Elektronik,427.82,17,7272.94,6722,Gülgen,Erkek,39,İzmir,3839.13
30/05/2023,P037,Fırın,Ev Aletleri,372.36,14,5213.04,3416,Berki,Kadın,55,Adana,3924.76
10/01/2023,P024,Bilgisayar,Elektronik,582.81,10,7520.75939059395,2128,Tiğin,Erkek,40,Antalya,3842.84
11/09/2024,P037,Fırın,Ev Aletleri,1177.25,10,11772.5,4202,Günver,Kadın,58,Konya,1484.44
19/03/2024,P010,Çanta,Giyim,216.63,1,216.63,5039,Denkel,Erkek,56,Konya,954.22
16/11/2022,P011,Kalem,Kırtasiye,1201.45,3,3604.35,6456,Şamiha,Erkek,42,İzmir,4919.81
16/06/2024,P010,Çanta,Giyim,665.6,19,12646.4,6923,Goncafer,Erkek,64,İzmir,316.98
17/02/2023,P011,Kalem,Kırtasiye,1360.84,11,14969.24,6061,Maşide,Erkek,35,Antalya,4560.13
07/10/2024,P011,Kalem,Kırtasiye,1165.1,3,3495.3,4089,İlgi,Erkek,30,İstanbul,2393.46
